,NAICS2017_LABEL,SEX_LABEL,ETH_GROUP,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP_LABEL,YIBSZFI,YIBSZFI_LABEL,FIRMPDEMP,RCPPDEMP,EMP,PAYANN,EMPSZFI,EMPSZFI_LABEL
7701,Management of companies and enterprises,Classifiable,096,96,Classifiable,Classifiable,318,Firms with 2 to 3 years in business,S,S,"10,000 to 24,999 employees",S,,
7702,Management of companies and enterprises,Classifiable,096,96,Classifiable,Classifiable,319,Firms with 4 to 5 years in business,S,S,"5,000 to 9,999 employees",S,,
7703,Management of companies and enterprises,Classifiable,096,96,Classifiable,Classifiable,321,Firms with 6 to 10 years in business,S,S,"10,000 to 24,999 employees",S,,
7704,Management of companies and enterprises,Classifiable,096,96,Classifiable,Classifiable,322,Firms with 11 to 15 years in business,S,S,"25,000 to 49,999 employees",S,,
7705,Management of companies and enterprises,Classifiable,096,96,Classifiable,Classifiable,323,Firms with 16 or more years in business,12707,S,539947,45997638,,
7706,Management of companies and enterprises,Unclassifiable,098,98,Unclassifiable,Unclassifiable,318,Firms with 2 to 3 years in business,S,S,"5,000 to 9,999 employees",S,,
7707,Management of companies and enterprises,Unclassifiable,098,98,Unclassifiable,Unclassifiable,319,Firms with 4 to 5 years in business,S,S,"1,000 to 2,499 employees",S,,
7708,Management of companies and enterprises,Unclassifiable,098,98,Unclassifiable,Unclassifiable,321,Firms with 6 to 10 years in business,146,S,34385,3254020,,
7709,Management of companies and enterprises,Unclassifiable,098,98,Unclassifiable,Unclassifiable,322,Firms with 11 to 15 years in business,S,S,"10,000 to 24,999 employees",S,,
7710,Management of companies and enterprises,Unclassifiable,098,98,Unclassifiable,Unclassifiable,323,Firms with 16 or more years in business,8357,S,2891941,351635123,,
7711,Administrative and support and waste management and remediation services,Total,001,00,Total,Total,311,Firms with less than 2 years in business,53864,W,249837,9837549,,
7712,Administrative and support and waste management and remediation services,Total,001,00,Total,Total,318,Firms with 2 to 3 years in business,42375,W,402745,13631026,,
7713,Administrative and support and waste management and remediation services,Total,001,00,Total,Total,319,Firms with 4 to 5 years in business,32681,W,463753,16078321,,
7714,Administrative and support and waste management and remediation services,Total,001,00,Total,Total,321,Firms with 6 to 10 years in business,61506,W,1231713,46845153,,
7715,Administrative and support and waste management and remediation services,Total,001,00,Total,Total,322,Firms with 11 to 15 years in business,49808,W,1138711,46998197,,
7716,Administrative and support and waste management and remediation services,Total,001,00,Total,Total,323,Firms with 16 or more years in business,105889,W,8912636,407248125,,
7717,Administrative and support and waste management and remediation services,Female,001,00,Total,Total,311,Firms with less than 2 years in business,12430,W,57108,2312332,,
7718,Administrative and support and waste management and remediation services,Female,001,00,Total,Total,318,Firms with 2 to 3 years in business,10057,W,96912,3069769,,
7719,Administrative and support and waste management and remediation services,Female,001,00,Total,Total,319,Firms with 4 to 5 years in business,7125,W,88803,3078401,,
7720,Administrative and support and waste management and remediation services,Female,001,00,Total,Total,321,Firms with 6 to 10 years in business,13626,W,227651,8324468,,
7721,Administrative and support and waste management and remediation services,Female,001,00,Total,Total,322,Firms with 11 to 15 years in business,11316,W,209996,7790696,,
7722,Administrative and support and waste management and remediation services,Female,001,00,Total,Total,323,Firms with 16 or more years in business,21326,W,737778,27187056,,
7723,Administrative and support and waste management and remediation services,Male,001,00,Total,Total,311,Firms with less than 2 years in business,33315,W,148269,5981760,,
7724,Administrative and support and waste management and remediation services,Male,001,00,Total,Total,318,Firms with 2 to 3 years in business,26286,W,242759,8219491,,
7725,Administrative and support and waste management and remediation services,Male,001,00,Total,Total,319,Firms with 4 to 5 years in business,20825,W,314806,11263637,,
7726,Administrative and support and waste management and remediation services,Male,001,00,Total,Total,321,Firms with 6 to 10 years in business,38140,W,771292,28446228,,
7727,Administrative and support and waste management and remediation services,Male,001,00,Total,Total,322,Firms with 11 to 15 years in business,29916,W,681911,27089323,,
7728,Administrative and support and waste management and remediation services,Male,001,00,Total,Total,323,Firms with 16 or more years in business,62101,W,2659103,103442736,,
7729,Administrative and support and waste management and remediation services,Equally male/female,001,00,Total,Total,311,Firms with less than 2 years in business,7940,U,42157,1447789,,
7730,Administrative and support and waste management and remediation services,Equally male/female,001,00,Total,Total,318,Firms with 2 to 3 years in business,5731,U,48273,1360020,,
7731,Administrative and support and waste management and remediation services,Equally male/female,001,00,Total,Total,319,Firms with 4 to 5 years in business,4301,U,26091,827493,,
7732,Administrative and support and waste management and remediation services,Equally male/female,001,00,Total,Total,321,Firms with 6 to 10 years in business,8881,W,116643,3341425,,
7733,Administrative and support and waste management and remediation services,Equally male/female,001,00,Total,Total,322,Firms with 11 to 15 years in business,7614,W,79238,3272593,,
7734,Administrative and support and waste management and remediation services,Equally male/female,001,00,Total,Total,323,Firms with 16 or more years in business,15929,W,362874,13950717,,
7735,Administrative and support and waste management and remediation services,Total,020,00,Total,Total,311,Firms with less than 2 years in business,5585,U,18439,618170,,
7736,Administrative and support and waste management and remediation services,Total,020,00,Total,Total,318,Firms with 2 to 3 years in business,5404,U,35353,810156,,
7737,Administrative and support and waste management and remediation services,Total,020,00,Total,Total,319,Firms with 4 to 5 years in business,4280,U,61352,1427729,,
7738,Administrative and support and waste management and remediation services,Total,020,00,Total,Total,321,Firms with 6 to 10 years in business,6872,W,73810,2267046,,
7739,Administrative and support and waste management and remediation services,Total,020,00,Total,Total,322,Firms with 11 to 15 years in business,3758,U,41561,1841632,,
7740,Administrative and support and waste management and remediation services,Total,020,00,Total,Total,323,Firms with 16 or more years in business,5728,W,190387,8010172,,
7741,Administrative and support and waste management and remediation services,Female,020,00,Total,Total,311,Firms with less than 2 years in business,1521,T,6567,201834,,
7742,Administrative and support and waste management and remediation services,Female,020,00,Total,Total,318,Firms with 2 to 3 years in business,1438,T,10963,247399,,
7743,Administrative and support and waste management and remediation services,Female,020,00,Total,Total,319,Firms with 4 to 5 years in business,S,S,"10,000 to 24,999 employees",S,,
7744,Administrative and support and waste management and remediation services,Female,020,00,Total,Total,321,Firms with 6 to 10 years in business,2049,U,22467,552215,,
7745,Administrative and support and waste management and remediation services,Female,020,00,Total,Total,322,Firms with 11 to 15 years in business,1087,T,7692,284934,,
7746,Administrative and support and waste management and remediation services,Female,020,00,Total,Total,323,Firms with 16 or more years in business,1265,U,48958,1417068,,
7747,Administrative and support and waste management and remediation services,Male,020,00,Total,Total,311,Firms with less than 2 years in business,3318,U,9991,355460,,
7748,Administrative and support and waste management and remediation services,Male,020,00,Total,Total,318,Firms with 2 to 3 years in business,3399,U,22750,522869,,
7749,Administrative and support and waste management and remediation services,Male,020,00,Total,Total,319,Firms with 4 to 5 years in business,2803,U,39459,839707,,
7750,Administrative and support and waste management and remediation services,Male,020,00,Total,Total,321,Firms with 6 to 10 years in business,4148,U,38883,1169002,,
7751,Administrative and support and waste management and remediation services,Male,020,00,Total,Total,322,Firms with 11 to 15 years in business,2091,U,26522,987647,,
7752,Administrative and support and waste management and remediation services,Male,020,00,Total,Total,323,Firms with 16 or more years in business,3909,W,132244,6339869,,
7753,Administrative and support and waste management and remediation services,Equally male/female,020,00,Total,Total,311,Firms with less than 2 years in business,746,R,1881,60876,,
7754,Administrative and support and waste management and remediation services,Equally male/female,020,00,Total,Total,318,Firms with 2 to 3 years in business,565,O,1640,39888,,
7755,Administrative and support and waste management and remediation services,Equally male/female,020,00,Total,Total,319,Firms with 4 to 5 years in business,S,S,"2,500 to 4,999 employees",S,,
7756,Administrative and support and waste management and remediation services,Equally male/female,020,00,Total,Total,321,Firms with 6 to 10 years in business,S,S,"10,000 to 24,999 employees",S,,
7757,Administrative and support and waste management and remediation services,Equally male/female,020,00,Total,Total,322,Firms with 11 to 15 years in business,S,S,"5,000 to 9,999 employees",S,,
7758,Administrative and support and waste management and remediation services,Equally male/female,020,00,Total,Total,323,Firms with 16 or more years in business,S,S,"5,000 to 9,999 employees",S,,
7759,Administrative and support and waste management and remediation services,Total,028,00,Total,Total,311,Firms with less than 2 years in business,S,S,"2,500 to 4,999 employees",S,,
7760,Administrative and support and waste management and remediation services,Total,028,00,Total,Total,318,Firms with 2 to 3 years in business,S,S,"5,000 to 9,999 employees",S,,
7761,Administrative and support and waste management and remediation services,Total,028,00,Total,Total,319,Firms with 4 to 5 years in business,497,R,1280,46060,,
7762,Administrative and support and waste management and remediation services,Total,028,00,Total,Total,321,Firms with 6 to 10 years in business,790,U,16685,500231,,
7763,Administrative and support and waste management and remediation services,Total,028,00,Total,Total,322,Firms with 11 to 15 years in business,690,T,6249,199972,,
7764,Administrative and support and waste management and remediation services,Total,028,00,Total,Total,323,Firms with 16 or more years in business,S,S,"10,000 to 24,999 employees",S,,
7765,Administrative and support and waste management and remediation services,Female,028,00,Total,Total,311,Firms with less than 2 years in business,S,S,20 to 99 employees,S,,
7766,Administrative and support and waste management and remediation services,Female,028,00,Total,Total,318,Firms with 2 to 3 years in business,D,D,0 to 19 employees,D,,
7767,Administrative and support and waste management and remediation services,Female,028,00,Total,Total,319,Firms with 4 to 5 years in business,D,D,20 to 99 employees,D,,
7768,Administrative and support and waste management and remediation services,Female,028,00,Total,Total,321,Firms with 6 to 10 years in business,D,D,0 to 19 employees,D,,
7769,Administrative and support and waste management and remediation services,Female,028,00,Total,Total,323,Firms with 16 or more years in business,S,S,100 to 249 employees,S,,
7770,Administrative and support and waste management and remediation services,Male,028,00,Total,Total,311,Firms with less than 2 years in business,243,O,961,30115,,
7771,Administrative and support and waste management and remediation services,Male,028,00,Total,Total,318,Firms with 2 to 3 years in business,S,S,"2,500 to 4,999 employees",S,,
7772,Administrative and support and waste management and remediation services,Male,028,00,Total,Total,319,Firms with 4 to 5 years in business,S,S,250 to 499 employees,S,,
7773,Administrative and support and waste management and remediation services,Male,028,00,Total,Total,321,Firms with 6 to 10 years in business,S,S,"5,000 to 9,999 employees",S,,
7774,Administrative and support and waste management and remediation services,Male,028,00,Total,Total,322,Firms with 11 to 15 years in business,S,S,"2,500 to 4,999 employees",S,,
7775,Administrative and support and waste management and remediation services,Male,028,00,Total,Total,323,Firms with 16 or more years in business,S,S,"2,500 to 4,999 employees",S,,
7776,Administrative and support and waste management and remediation services,Equally male/female,028,00,Total,Total,311,Firms with less than 2 years in business,S,S,"2,500 to 4,999 employees",S,,
7777,Administrative and support and waste management and remediation services,Equally male/female,028,00,Total,Total,318,Firms with 2 to 3 years in business,S,S,"1,000 to 2,499 employees",S,,
7778,Administrative and support and waste management and remediation services,Equally male/female,028,00,Total,Total,319,Firms with 4 to 5 years in business,S,S,500 to 999 employees,S,,
7779,Administrative and support and waste management and remediation services,Equally male/female,028,00,Total,Total,321,Firms with 6 to 10 years in business,S,S,"5,000 to 9,999 employees",S,,
7780,Administrative and support and waste management and remediation services,Equally male/female,028,00,Total,Total,322,Firms with 11 to 15 years in business,S,S,"2,500 to 4,999 employees",S,,
7781,Administrative and support and waste management and remediation services,Equally male/female,028,00,Total,Total,323,Firms with 16 or more years in business,S,S,"5,000 to 9,999 employees",S,,
7782,Administrative and support and waste management and remediation services,Total,029,00,Total,Total,311,Firms with less than 2 years in business,47168,W,225370,9014254,,
7783,Administrative and support and waste management and remediation services,Total,029,00,Total,Total,318,Firms with 2 to 3 years in business,35952,W,347235,11620676,,
7784,Administrative and support and waste management and remediation services,Total,029,00,Total,Total,319,Firms with 4 to 5 years in business,27472,W,367068,13695743,,
7785,Administrative and support and waste management and remediation services,Total,029,00,Total,Total,321,Firms with 6 to 10 years in business,52986,W,1025091,37344843,,
7786,Administrative and support and waste management and remediation services,Total,029,00,Total,Total,322,Firms with 11 to 15 years in business,44400,W,923334,36111008,,
7787,Administrative and support and waste management and remediation services,Total,029,00,Total,Total,323,Firms with 16 or more years in business,92748,W,3558310,136220101,,
7788,Administrative and support and waste management and remediation services,Female,029,00,Total,Total,311,Firms with less than 2 years in business,10861,W,50506,2109187,,
7789,Administrative and support and waste management and remediation services,Female,029,00,Total,Total,318,Firms with 2 to 3 years in business,8609,W,85932,2822010,,
7790,Administrative and support and waste management and remediation services,Female,029,00,Total,Total,319,Firms with 4 to 5 years in business,6214,W,69834,2564116,,
7791,Administrative and support and waste management and remediation services,Female,029,00,Total,Total,321,Firms with 6 to 10 years in business,11569,W,205167,7771658,,
7792,Administrative and support and waste management and remediation services,Female,029,00,Total,Total,322,Firms with 11 to 15 years in business,10230,W,202303,7505762,,
7793,Administrative and support and waste management and remediation services,Female,029,00,Total,Total,323,Firms with 16 or more years in business,20001,W,688580,25762049,,
7794,Administrative and support and waste management and remediation services,Male,029,00,Total,Total,311,Firms with less than 2 years in business,29751,W,137316,5596185,,
7795,Administrative and support and waste management and remediation services,Male,029,00,Total,Total,318,Firms with 2 to 3 years in business,22786,W,216705,7586058,,
7796,Administrative and support and waste management and remediation services,Male,029,00,Total,Total,319,Firms with 4 to 5 years in business,17837,W,275019,10407786,,
7797,Administrative and support and waste management and remediation services,Male,029,00,Total,Total,321,Firms with 6 to 10 years in business,33742,W,723953,27052090,,
7798,Administrative and support and waste management and remediation services,Male,029,00,Total,Total,322,Firms with 11 to 15 years in business,27673,W,652532,26006097,,
7799,Administrative and support and waste management and remediation services,Male,029,00,Total,Total,323,Firms with 16 or more years in business,58064,W,2523727,96988118,,
7800,Administrative and support and waste management and remediation services,Equally male/female,029,00,Total,Total,311,Firms with less than 2 years in business,6556,U,37547,1308881,,
7801,Administrative and support and waste management and remediation services,Equally male/female,029,00,Total,Total,318,Firms with 2 to 3 years in business,4558,U,44598,1212608,,
7802,Administrative and support and waste management and remediation services,Equally male/female,029,00,Total,Total,319,Firms with 4 to 5 years in business,3423,U,22216,723841,,
7803,Administrative and support and waste management and remediation services,Equally male/female,029,00,Total,Total,321,Firms with 6 to 10 years in business,7677,W,95970,2521096,,
7804,Administrative and support and waste management and remediation services,Equally male/female,029,00,Total,Total,322,Firms with 11 to 15 years in business,6496,W,68498,2599149,,
7805,Administrative and support and waste management and remediation services,Equally male/female,029,00,Total,Total,323,Firms with 16 or more years in business,14682,W,346003,13469933,,
7806,Administrative and support and waste management and remediation services,Total,001,30,White,Total,311,Firms with less than 2 years in business,49223,W,227808,9010373,,
7807,Administrative and support and waste management and remediation services,Total,001,30,White,Total,318,Firms with 2 to 3 years in business,38535,W,352119,11310848,,
7808,Administrative and support and waste management and remediation services,Total,001,30,White,Total,319,Firms with 4 to 5 years in business,28880,W,401678,14075087,,
7809,Administrative and support and waste management and remediation services,Total,001,30,White,Total,321,Firms with 6 to 10 years in business,55827,W,1029102,37350281,,
7810,Administrative and support and waste management and remediation services,Total,001,30,White,Total,322,Firms with 11 to 15 years in business,45581,W,917209,36130655,,
7811,Administrative and support and waste management and remediation services,Total,001,30,White,Total,323,Firms with 16 or more years in business,93442,W,3524884,136250849,,
7812,Administrative and support and waste management and remediation services,Female,001,30,White,Total,311,Firms with less than 2 years in business,11297,W,52925,2173244,,
7813,Administrative and support and waste management and remediation services,Female,001,30,White,Total,318,Firms with 2 to 3 years in business,9216,W,84170,2593453,,
7814,Administrative and support and waste management and remediation services,Female,001,30,White,Total,319,Firms with 4 to 5 years in business,6311,W,77627,2595436,,
7815,Administrative and support and waste management and remediation services,Female,001,30,White,Total,321,Firms with 6 to 10 years in business,12348,W,202123,7247727,,
7816,Administrative and support and waste management and remediation services,Female,001,30,White,Total,322,Firms with 11 to 15 years in business,10523,W,189033,7181418,,
7817,Administrative and support and waste management and remediation services,Female,001,30,White,Total,323,Firms with 16 or more years in business,20068,W,700307,25591112,,
7818,Administrative and support and waste management and remediation services,Male,001,30,White,Total,311,Firms with less than 2 years in business,30671,W,134479,5558727,,
7819,Administrative and support and waste management and remediation services,Male,001,30,White,Total,318,Firms with 2 to 3 years in business,24060,W,222139,7437969,,
7820,Administrative and support and waste management and remediation services,Male,001,30,White,Total,319,Firms with 4 to 5 years in business,18891,W,299948,10729254,,
7821,Administrative and support and waste management and remediation services,Male,001,30,White,Total,321,Firms with 6 to 10 years in business,35217,W,715764,26941692,,
7822,Administrative and support and waste management and remediation services,Male,001,30,White,Total,322,Firms with 11 to 15 years in business,27971,W,655387,25868409,,
7823,Administrative and support and waste management and remediation services,Male,001,30,White,Total,323,Firms with 16 or more years in business,58511,W,2485047,97754405,,
7824,Administrative and support and waste management and remediation services,Equally male/female,001,30,White,Total,311,Firms with less than 2 years in business,7255,U,40404,1278403,,
7825,Administrative and support and waste management and remediation services,Equally male/female,001,30,White,Total,318,Firms with 2 to 3 years in business,5260,U,45809,1279426,,
7826,Administrative and support and waste management and remediation services,Equally male/female,001,30,White,Total,319,Firms with 4 to 5 years in business,3678,U,24102,750397,,
7827,Administrative and support and waste management and remediation services,Equally male/female,001,30,White,Total,321,Firms with 6 to 10 years in business,8261,W,111215,3160862,,
7828,Administrative and support and waste management and remediation services,Equally male/female,001,30,White,Total,322,Firms with 11 to 15 years in business,7085,W,72789,3080828,,
7829,Administrative and support and waste management and remediation services,Equally male/female,001,30,White,Total,323,Firms with 16 or more years in business,14861,W,339530,12905332,,
7830,Administrative and support and waste management and remediation services,Total,020,30,White,Total,311,Firms with less than 2 years in business,5186,U,17849,603175,,
7831,Administrative and support and waste management and remediation services,Total,020,30,White,Total,318,Firms with 2 to 3 years in business,5153,U,34084,781036,,
7832,Administrative and support and waste management and remediation services,Total,020,30,White,Total,319,Firms with 4 to 5 years in business,3949,U,59283,1370616,,
7833,Administrative and support and waste management and remediation services,Total,020,30,White,Total,321,Firms with 6 to 10 years in business,6297,W,72125,2224112,,
7834,Administrative and support and waste management and remediation services,Total,020,30,White,Total,322,Firms with 11 to 15 years in business,3426,U,40533,1814230,,
7835,Administrative and support and waste management and remediation services,Total,020,30,White,Total,323,Firms with 16 or more years in business,5578,W,189733,7991013,,
7836,Administrative and support and waste management and remediation services,Total,028,30,White,Total,311,Firms with less than 2 years in business,S,S,"2,500 to 4,999 employees",S,,
7837,Administrative and support and waste management and remediation services,Total,028,30,White,Total,318,Firms with 2 to 3 years in business,S,S,"5,000 to 9,999 employees",S,,
7838,Administrative and support and waste management and remediation services,Total,028,30,White,Total,319,Firms with 4 to 5 years in business,405,O,648,29547,,
7839,Administrative and support and waste management and remediation services,Total,028,30,White,Total,321,Firms with 6 to 10 years in business,670,U,15935,482716,,
7840,Administrative and support and waste management and remediation services,Total,028,30,White,Total,322,Firms with 11 to 15 years in business,660,T,6039,189414,,
7841,Administrative and support and waste management and remediation services,Total,028,30,White,Total,323,Firms with 16 or more years in business,759,T,10729,332604,,
7842,Administrative and support and waste management and remediation services,Total,029,30,White,Total,311,Firms with less than 2 years in business,43153,W,206278,8299127,,
7843,Administrative and support and waste management and remediation services,Total,029,30,White,Total,318,Firms with 2 to 3 years in business,32667,W,312679,10311364,,
7844,Administrative and support and waste management and remediation services,Total,029,30,White,Total,319,Firms with 4 to 5 years in business,24526,W,341747,12674923,,
7845,Administrative and support and waste management and remediation services,Total,029,30,White,Total,321,Firms with 6 to 10 years in business,48862,W,941042,34643453,,
7846,Administrative and support and waste management and remediation services,Total,029,30,White,Total,322,Firms with 11 to 15 years in business,41493,W,870637,34127011,,
7847,Administrative and support and waste management and remediation services,Total,029,30,White,Total,323,Firms with 16 or more years in business,87105,W,3324423,127927231,,
7848,Administrative and support and waste management and remediation services,Total,001,40,Black or African American,Total,311,Firms with less than 2 years in business,1867,T,9197,236088,,
7849,Administrative and support and waste management and remediation services,Total,001,40,Black or African American,Total,318,Firms with 2 to 3 years in business,1695,T,14402,318682,,
7850,Administrative and support and waste management and remediation services,Total,001,40,Black or African American,Total,319,Firms with 4 to 5 years in business,1335,T,10353,253266,,
7851,Administrative and support and waste management and remediation services,Total,001,40,Black or African American,Total,321,Firms with 6 to 10 years in business,1888,U,43274,1119621,,
7852,Administrative and support and waste management and remediation services,Total,001,40,Black or African American,Total,322,Firms with 11 to 15 years in business,1181,U,15648,474250,,
7853,Administrative and support and waste management and remediation services,Total,001,40,Black or African American,Total,323,Firms with 16 or more years in business,2388,W,88041,2511566,,
7854,Administrative and support and waste management and remediation services,Female,001,40,Black or African American,Total,311,Firms with less than 2 years in business,472,O,1906,39212,,
7855,Administrative and support and waste management and remediation services,Female,001,40,Black or African American,Total,318,Firms with 2 to 3 years in business,S,S,"2,500 to 4,999 employees",S,,
7856,Administrative and support and waste management and remediation services,Female,001,40,Black or African American,Total,319,Firms with 4 to 5 years in business,S,S,"2,500 to 4,999 employees",S,,
7857,Administrative and support and waste management and remediation services,Female,001,40,Black or African American,Total,321,Firms with 6 to 10 years in business,538,T,9467,460143,,
7858,Administrative and support and waste management and remediation services,Female,001,40,Black or African American,Total,322,Firms with 11 to 15 years in business,276,R,3707,104510,,
7859,Administrative and support and waste management and remediation services,Female,001,40,Black or African American,Total,323,Firms with 16 or more years in business,S,S,"25,000 to 49,999 employees",S,,
7860,Administrative and support and waste management and remediation services,Male,001,40,Black or African American,Total,311,Firms with less than 2 years in business,1293,R,6986,187088,,
7861,Administrative and support and waste management and remediation services,Male,001,40,Black or African American,Total,318,Firms with 2 to 3 years in business,S,S,"10,000 to 24,999 employees",S,,
7862,Administrative and support and waste management and remediation services,Male,001,40,Black or African American,Total,319,Firms with 4 to 5 years in business,S,S,"5,000 to 9,999 employees",S,,
7863,Administrative and support and waste management and remediation services,Male,001,40,Black or African American,Total,321,Firms with 6 to 10 years in business,1311,U,33747,658838,,
7864,Administrative and support and waste management and remediation services,Male,001,40,Black or African American,Total,322,Firms with 11 to 15 years in business,852,T,11283,337763,,
7865,Administrative and support and waste management and remediation services,Male,001,40,Black or African American,Total,323,Firms with 16 or more years in business,1709,U,59453,1408508,,
7866,Administrative and support and waste management and remediation services,Equally male/female,001,40,Black or African American,Total,311,Firms with less than 2 years in business,100,L,304,9787,,
7867,Administrative and support and waste management and remediation services,Equally male/female,001,40,Black or African American,Total,318,Firms with 2 to 3 years in business,S,S,500 to 999 employees,S,,
7868,Administrative and support and waste management and remediation services,Equally male/female,001,40,Black or African American,Total,319,Firms with 4 to 5 years in business,S,S,100 to 249 employees,S,,
7869,Administrative and support and waste management and remediation services,Equally male/female,001,40,Black or African American,Total,321,Firms with 6 to 10 years in business,S,S,20 to 99 employees,S,,
7870,Administrative and support and waste management and remediation services,Equally male/female,001,40,Black or African American,Total,322,Firms with 11 to 15 years in business,S,S,500 to 999 employees,S,,
7871,Administrative and support and waste management and remediation services,Equally male/female,001,40,Black or African American,Total,323,Firms with 16 or more years in business,S,S,"1,000 to 2,499 employees",S,,
7872,Administrative and support and waste management and remediation services,Total,020,40,Black or African American,Total,311,Firms with less than 2 years in business,S,S,20 to 99 employees,S,,
7873,Administrative and support and waste management and remediation services,Total,020,40,Black or African American,Total,318,Firms with 2 to 3 years in business,S,S,"1,000 to 2,499 employees",S,,
7874,Administrative and support and waste management and remediation services,Total,020,40,Black or African American,Total,319,Firms with 4 to 5 years in business,S,S,"1,000 to 2,499 employees",S,,
7875,Administrative and support and waste management and remediation services,Total,020,40,Black or African American,Total,321,Firms with 6 to 10 years in business,S,S,"1,000 to 2,499 employees",S,,
7876,Administrative and support and waste management and remediation services,Total,020,40,Black or African American,Total,322,Firms with 11 to 15 years in business,234,R,1615,56816,,
7877,Administrative and support and waste management and remediation services,Total,020,40,Black or African American,Total,323,Firms with 16 or more years in business,S,S,100 to 249 employees,S,,
7878,Administrative and support and waste management and remediation services,Total,029,40,Black or African American,Total,311,Firms with less than 2 years in business,1760,T,9105,230313,,
7879,Administrative and support and waste management and remediation services,Total,029,40,Black or African American,Total,318,Firms with 2 to 3 years in business,1570,T,13330,299944,,
7880,Administrative and support and waste management and remediation services,Total,029,40,Black or African American,Total,319,Firms with 4 to 5 years in business,1124,T,9274,207776,,
7881,Administrative and support and waste management and remediation services,Total,029,40,Black or African American,Total,321,Firms with 6 to 10 years in business,1556,U,42070,1087445,,
7882,Administrative and support and waste management and remediation services,Total,029,40,Black or African American,Total,322,Firms with 11 to 15 years in business,947,T,14033,417434,,
7883,Administrative and support and waste management and remediation services,Total,029,40,Black or African American,Total,323,Firms with 16 or more years in business,2355,W,87859,2503476,,
7884,Administrative and support and waste management and remediation services,Total,001,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,282,M,665,21041,,
7885,Administrative and support and waste management and remediation services,Total,001,50,American Indian and Alaska Native,Total,318,Firms with 2 to 3 years in business,S,S,"1,000 to 2,499 employees",S,,
7886,Administrative and support and waste management and remediation services,Total,001,50,American Indian and Alaska Native,Total,319,Firms with 4 to 5 years in business,S,S,"1,000 to 2,499 employees",S,,
7887,Administrative and support and waste management and remediation services,Total,001,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,251,R,3979,153966,,
7888,Administrative and support and waste management and remediation services,Total,001,50,American Indian and Alaska Native,Total,322,Firms with 11 to 15 years in business,S,S,"5,000 to 9,999 employees",S,,
7889,Administrative and support and waste management and remediation services,Total,001,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,494,U,22207,715407,,
7890,Administrative and support and waste management and remediation services,Female,001,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,S,S,250 to 499 employees,S,,
7891,Administrative and support and waste management and remediation services,Female,001,50,American Indian and Alaska Native,Total,318,Firms with 2 to 3 years in business,S,S,0 to 19 employees,S,,
7892,Administrative and support and waste management and remediation services,Female,001,50,American Indian and Alaska Native,Total,319,Firms with 4 to 5 years in business,S,S,250 to 499 employees,S,,
7893,Administrative and support and waste management and remediation services,Female,001,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,11,K,81,4248,,
7894,Administrative and support and waste management and remediation services,Female,001,50,American Indian and Alaska Native,Total,322,Firms with 11 to 15 years in business,S,S,"1,000 to 2,499 employees",S,,
7895,Administrative and support and waste management and remediation services,Female,001,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,120,M,552,27244,,
7896,Administrative and support and waste management and remediation services,Male,001,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,167,L,303,15458,,
7897,Administrative and support and waste management and remediation services,Male,001,50,American Indian and Alaska Native,Total,318,Firms with 2 to 3 years in business,S,S,"1,000 to 2,499 employees",S,,
7898,Administrative and support and waste management and remediation services,Male,001,50,American Indian and Alaska Native,Total,319,Firms with 4 to 5 years in business,S,S,"1,000 to 2,499 employees",S,,
7899,Administrative and support and waste management and remediation services,Male,001,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,240,R,3897,149705,,
7900,Administrative and support and waste management and remediation services,Male,001,50,American Indian and Alaska Native,Total,322,Firms with 11 to 15 years in business,S,S,"2,500 to 4,999 employees",S,,
7901,Administrative and support and waste management and remediation services,Male,001,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,373,U,20063,641842,,
7902,Administrative and support and waste management and remediation services,Equally male/female,001,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,7,I,0,79,,
7903,Administrative and support and waste management and remediation services,Equally male/female,001,50,American Indian and Alaska Native,Total,319,Firms with 4 to 5 years in business,D,D,0 to 19 employees,D,,
7904,Administrative and support and waste management and remediation services,Equally male/female,001,50,American Indian and Alaska Native,Total,321,Firms with 6 to 10 years in business,D,D,0 to 19 employees,D,,
7905,Administrative and support and waste management and remediation services,Equally male/female,001,50,American Indian and Alaska Native,Total,322,Firms with 11 to 15 years in business,S,S,0 to 19 employees,S,,
7906,Administrative and support and waste management and remediation services,Equally male/female,001,50,American Indian and Alaska Native,Total,323,Firms with 16 or more years in business,2,M,1592,46321,,
7907,Administrative and support and waste management and remediation services,Total,020,50,American Indian and Alaska Native,Total,311,Firms with less than 2 years in business,S,S,250 to 499 employees,S,,
7908,Administrative and support and waste management and remediation services,Total,020,50,American Indian and Alaska Native,Total,318,Firms with 2 to 3 years in business,S,S,100 to 249 employees,S,,
